Title,Date,Rating,Review
Not bad,2021-01-10,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was confusing. I had to add ketchup at home to wake it up a bit."
Mixed feelings,2024-10-19,3,"The burger was okay. The double patty had decent flavor, but the brioche bun got soggy halfway through. The bacon, pepper jack were fine, and the no side was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Cheesy in the best way,2025-08-03,4,"Good burger overall. The double patty was juicy and the avocado, bacon tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2024-02-02,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, pickles most, and even the milkshake was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Best lunch stop,2023-03-13,4,"Good burger overall. The double patty was perfectly seared and the avocado tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again."
Fine for a quick meal,2022-12-07,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
A really good burger,2024-11-26,4,"Good burger overall. The smash patty was rich and the pepper jack tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Portion size was fair for the price."
Cheesy in the best way,2022-07-22,5,"Stopped by downtown after work and the burger was excellent. The plant-based patty was crispy-edged, the soft bun held everything together, and the avocado, lettuce and tomato, bacon added a lot of flavor. Service was quick and the onion rings rounded out the meal nicely. I also appreciated that the order was accurate."
Flavor packed and messy,2024-02-22,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Great flavor balance,2021-04-04,4,"Good burger overall. The smash patty was crispy-edged and the special sauce, melted cheddar, grilled mushrooms tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was fast and I'd order it again."
Messy for the wrong reasons,2025-05-11,2,"Below average meal. The burger arrived lukewarm and the texture was off. The no side was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Great flavor balance,2022-03-04,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, caramelized onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Overcooked and dry,2022-04-04,1,"Really disappointing. The burger came out barely warm, the patty was cold, and the toasted bun was stale. Service was inattentive, and I wouldn't order this again. The fries could have been crispier."
Fine for a quick meal,2022-06-26,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was inattentive. The fries could have been crispier."
A really good burger,2023-10-12,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, caramelized onions most, and even the sweet potato fries was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Disappointing visit,2022-09-20,2,"Below average meal. The burger arrived lukewarm and the texture was off. The onion rings was fine, but the main item lacked flavor and felt overpriced for what it was. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2024-09-02,5,"Stopped by the food court on a road trip and the burger was excellent. The thick patty was well-seasoned, the soft bun held everything together, and the melted cheddar, avocado, grilled mushrooms added a lot of flavor. Service was fast and the lemonade rounded out the meal nicely. Portion size was fair for the price."
A really good burger,2022-09-02,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Fresh ingredients all around,2023-05-07,5,"Stopped by the airport branch on a road trip and the burger was excellent. The thick patty was well-seasoned, the potato bun held everything together, and the avocado added a lot of flavor. Service was attentive and the cola rounded out the meal nicely. I also appreciated that the order was accurate."
